Perceived_Hearing_Meaning,Hearing_FOMO,Hearing_Test_Barrier,Missed_Important_Sounds,Left_Out_Due_To_Hearing,Daily_Headphone_Use,Belief_Early_Hearing_Care,Last_Hearing_Test_Method,Interest_in_Hearing_App,Desired_App_Features,Awareness_on_hearing_and_Willingness_to_invest,Paid_App_Test_Interest,Age_group,Ear_Discomfort_After_Use
"Staying independent and alert, Enjoying music, laughter, and life, Staying connected with the world",Sometimes,Cost,"Yes, in family conversations","Yes, often",My parent(s),5,"Self - application, Loved one, AI Support",Yes,"Privacy, Soft guidance, Visuals, Report sharing options",Yes,"Maybe, if it offers good value",18 - 24,No
"Staying independent and alert, Staying connected with the world",Rarely,Never felt the need,"Yes, in public spaces (trains, shops, announcements)",Only in noisy places,My child/children,5,Self - application,Yes,Privacy,Yes,"No, I prefer getting tested at a hospital",18 - 24,Yes
"Staying independent and alert, I havenâ€™t thought about it much",Rarely,Shame,"Yes, during important work or school meetings",Sometimes,My parent(s),5,Self - application,Maybe,Soft guidance,No,"Yes, definitely",18 - 24,Maybe
Staying independent and alert,Yes often,Lack of awareness,"Yes, during important work or school meetings",Sometimes,1-2 hours,4,I've never taken a hearing test,"Yes, that would be helpful",Game-based interaction,Yes,"Yes, definitely",18 - 24,Occasionally
Staying independent and alert,Never,Lack of awareness,"No, I usually hear things well",Only in noisy places,Less than 1 hour,5,I've never taken a hearing test,"No, I don't think it's necessary","Quick tests, Game-based interaction, Detailed report generation",No,"No, I prefer getting tested at a hospital",25 - 34,No
"Enjoying music, laughter, and life",Rarely,Lack of awareness,"Yes, in family conversations",Never,Less than 1 hour,5,I've never taken a hearing test,"No, I don't think it's necessary",Quick tests,Yes,"No, I prefer getting tested at a hospital",25 - 34,No
"Feeling close to loved ones, Staying independent and alert",Yes often,Lack of awareness,"Yes, in family conversations",Only in noisy places,2-4 hours,4,At a hospital or clinic,"Yes, that would be helpful","Quick tests, Game-based interaction",Yes,"Maybe, if it offers good value",18 - 24,Yes
"Feeling close to loved ones, Staying independent and alert, Enjoying music, laughter, and life, Staying connected with the world",Rarely,"Cost, Lack of awareness","No, I usually hear things well",Never,2-4 hours,4,At a hospital or clinic,"Maybe, if it's easy to use","Quick tests, Game-based interaction, Regular testing reminders, Personalized volume adjustments",Yes,"Yes, definitely",18 - 24,Yes
"Enjoying music, laughter, and life",Sometimes,Lack of awareness,"Yes, in public spaces (trains, shops, announcements)",Only in noisy places,Less than 1 hour,5,I've never taken a hearing test,"Yes, that would be helpful","Quick tests, Game-based interaction, Regular testing reminders, Doctor consultation, Audio amplifier or sound booster",Yes,"Maybe, if it offers good value",18 - 24,Occasionally
"Enjoying music, laughter, and life, Staying connected with the world",Never,Lack of awareness,"No, I usually hear things well",Only in noisy places,Less than 1 hour,4,I've never taken a hearing test,"Maybe, if it's easy to use","Quick tests, Game-based interaction, Earphone calibration, Regular testing reminders, Detailed report generation, Doctor consultation, Audio amplifier or sound booster, Personalized volume adjustments, Soft guidance, Report sharing options",Yes,"No, I prefer getting tested at a hospital",18 - 24,Occasionally
